env_medium_naMerged	count
Not collected	92593
feces	22164
stool	11577
envo:	6273
fecal material	6175
faeces	4056
human stool	3941
envo:feces	3704
feces ethnicity	2048
stool ethnicity	1275
intesitinal biome	1067
fecal	872
rectal swab	639
human-associated habitat	638
feces [envo:]	615
feces envo:	514
stool sample	495
faeces ethnicity indonesian	459
feces(envo:) ethnicity	455
human gut microbiome	422
not applicable	417
fit buffer	404
human gastric tissue	374
intestinal tract	372
gut	328
human gut	313
human faeces	280
intestine environment	280
human infant feces	270
phosphate buffered saline	269
fecal sample	214
envo: ethnicity caucasian	200
fecal samples ethnicity hispanic	184
.f	175
organic material	172
aspirate fluid ethnicity not hispanic/latino	163
intestinal lumen ethnicity south asian	160
air	160
na ethnicity white	156
duodenal aspirate	153
colonic tissue	141
stool fluconazole  gastritis  gentamicin 	131
rectalswab	131
hrc	128
control	105
tumor	105
not appicable	104
vaginal-sample	103
missing ethnicity asian	97
vaginal sample	96
biopsy	85
aspirate	83
ethanol	83
oral catheter secretion	82
breast milk	82
biological product	80
chyme	80
endotracheal catheter secretion	78
bronchial brush	72
rnalater	72
feces friedchickenfreq  friedchickenquan  friesfreq  friesquan 	69
tissue	68
faecal sample	66
microbiological fermentation medium	63
.feces	61
patient 	61
sigmoid colon mucosal biopsy ethnicity not hispanic or latino	60
stool sample (from sigmoid colon) ethnicity not hispanic or latino	59
humanfaeces	55
oral wash	55
uberon:	54
intestine environment ethnicity white	54
feces.	54
human intestinal	54
.sigmoid	52
frozen at - degree after collection ethnicity asian caucasian hybrid	50
[envo:]	50
swab ethnicity kazakh	42
large intestine ethnicity caucasian	40
intestinal mucosa ethnicity caucasian	40
lumen compartment ethnicity mediterranean	40
mucosa of rectum	37
empty	36
fecal ethnicity kazakh	31
quality control ethnicity none	28
tissue_	27
mucosa	25
lab reagents	24
stool_	23
na ethnicity other	22
na ethnicity na	18
lumen compartment ethnicity asian	16
ileal tissue	9
purified dna	6
sequencing negative ctrl	6
water	6
kit negative ctrl (bm)	4
envo_	4
bran ethnicity not collected	4
kit negative ctrl (oral)	4
kit negative ctrl (stool)	4
kit negative ctrl (endo)	4
quality control ethnicity caucasian	3
negative control	3
fecal solid ethnicity not hispanic/latino	3
pbs	2
feces friedchickenfreq blank friedchickenquan  friesfreq blank friesquan 	1
bran ethnicity none	1
--duodenal aspirate	1
sequencing positive ctrl	1
